,Unnamed: 0,text,title,label
0,0,report pakistan tri take action daqood dawood ibrahim asset worth 15 000 crore seiz uae,dawood ibrahim asset worth 15 000 crore seiz uae,1
1,1,fake news spread pakistan pakistani post kirpan pimpal destroy indian armi immedi retali behead soldier,pakistani post kirpan pimpal destroy indian armi immedi retali behead soldier,1
2,2,pakistan want peac india kashmir,pakistan want peac india kashmir,1
3,3,pakistan spread terrorist activ name islam,pakistan spread terrorist activ name islam,0
4,4,rahul gandhi and sonia gandi are from congress parti,rahul gandhi and sonia gandi are from congress parti are are fight elect,0
5,5,manohar parikar good politician bjp parti,manohar parikar good politician bjp parti,0
6,6,congress parti indian polit parti contest elect,congress parti indian polit parti contest elect,0
7,7,bhartiya janta parti bjp parti indian polit parti contest elect,bhartiya janta parti bjp parti indian polit parti contest elect,0
8,8,modi good irfan khan friend,modi good irfan khan friend,1
9,9,bjp win half india go pakistan,bjp win half india go pakistan,1
10,10,jnu student antin want distroy india,jnu student antin want distroy india,1
11,11,bjp win indian get lakh amount money account,bjp win indian get lakh amount money account,1
12,12,nostradamu predict rise suprem leader narendu,nostradamu predict rise suprem leader narendu,1
13,13,indian american media spread fake news,indian american media spread fake news,0
14,14,india want distroy pakistan,india want distroy pakistan,1
15,15,china distroy world,china distroy world,1
16,16,north korea want distroy world,north korea want distroy world,1
17,17,america support india,america support india,0
18,18,russia franc europ australia support india,russia franc europ australia support india,0
19,19,modi well educ person,modi well educ person,0
20,20,smriti irani bjp phd degr well educ,smriti irani bjp phd degr well educ,1
21,21,peopl india want live peac religion,peopl india want live peac religion,0
22,22,bjp congress fals target alleg booth captur video west bengal,bjp congress fals target alleg booth captur video west bengal,0
23,23,the impact modi tsunami mamata banerje appeal everyon vote bjp,the impact modi tsunami mamata banerje appeal everyon vote bjp,1
24,24,A buddhist dress muslim woman caught sri lankan polic He os one roug bomb sri lankan church,A buddhist dress muslim woman caught sri lankan polic He os one roug bomb sri lankan church,0
25,25,A rag incid sri lankan univers viral hindu india mistreat muslim girl,sinc india retali pulwama terror attack misinform social media wit surg affect side border the cycl misinform refus stop even announc releas wing command abhinadan varthaman now video sri lanka use mock goodwil gestur push narr respect human digniti honour muslim women india,0
26,26,On 14 februari 2019 convoy vehicl carri secur personnel jammu srinagar nation highway attack vehicl born suicid bomber lethpora near awantipora pulwama district jammu kashmir india the attack result death 40 central reserv polic forc crpf personnel attack the respons attack claim pakistan base islamist milit group jaish e moham the attack adil ahmad dar local pulwama district member jaish e moham 2 3 4 india blame pakistan attack pakistan condemn attack deni connect,On 14 februari 2019 convoy vehicl carri secur personnel jammu srinagar nation highway attack vehicl born suicid bomber lethpora near awantipora pulwama district jammu kashmir india the attack result death 40 central reserv polic forc crpf personnel attack the respons attack claim pakistan base islamist milit group jaish e moham the attack adil ahmad dar local pulwama district member jaish e moham india blame pakistan attack pakistan condemn attack deni connect,0
27,27,the 2008 mumbai attack 10 also refer 26 11 11 group terrorist attack took place novemb 2008 10 member lashkar e taiba islam terrorist organis base pakistan carri seri 12 coordin shoot bomb attack last four day across mumbai 12 13 14 the attack drew widespread global condemn began wednesday 26 novemb last saturday 29 novemb 2008 At least 174 peopl die includ 9 attack 300 wound,the 2008 mumbai attacksalso refer 26 11 group terrorist attack took place novemb 2008 10 member lashkar e taiba islam terrorist organis base pakistan carri seri 12 coordin shoot bomb attack last four day across mumbai 12 13 14 the attack drew widespread global condemn began wednesday 26 novemb last saturday 29 novemb 2008 At least 174 peopl die includ 9 attack 300 wound,0
28,28,hindu girl burnt aliv madhya pradesh attend prayer meet christian church,hindu girl burnt aliv madhya pradesh attend prayer meet christian church,1
29,29,accus prime minist narendra modi think rule india keep peopl state fear senior congress leader P chidambaram friday said peopl vote countri mind without fear,accus prime minist narendra modi think rule india keep peopl state fear senior congress leader P chidambaram friday said peopl vote countri mind without fear,0
30,30,bjp modi hate muslim,bjp modi hate muslim,1
31,31,pakistan hate countri india hindu,pakistan hate countri india hindu,0
32,32,indira gandhi also said garibi hatao redistribut poverti say arun jaitley,indira gandhi also said garibi hatao redistribut poverti say arun jaitley,0
33,33,congressmen beat sub inspector,congressmen beat sub inspector news came say congress person beat sub inspector,1
34,34,bjp corpor manish chaudhari meerut later arrest beat sub inspector,bjp corpor manish chaudhari meerut later arrest beat sub inspector,0
35,35,while bank india charg money maintain minimum balanc save account stand total fals jan dhan account under jan dhan yojana scheme minimum balanc requir,while bank india charg money maintain minimum balanc save account stand total fals jan dhan account under jan dhan yojana the pradhan mantri jan dhan yojana account zero balanc sbi save account open govern purpos financi inclus account requir mainten particular minimum balanc ndtv profit talk sbi minimum balanc rule zero balanc account articl post sbi minimum balanc rule zero balanc account scheme minimum balanc requir,0
36,36,A muslim woman wear hijab hold placard read If modi want fill hous could done CM He love countri posit,A muslim woman wear hijab hold placard read If modi want fill hous could done CM He love countri posit,1
37,37,the pictur part campaign stereotyp campu happen univers mari washington virginia the origin imag I muslim I arab written the placard also don T stereotyp ME umw ina campaign written block letter boom debunk imag march 2019,the pictur muslim woman wear hijab hold placard read part campaign stereotyp campu happen univers mari washington virginia the origin imag I muslim I arab written the placard also don T stereotyp ME umw ina campaign written block letter boom debunk imag march 2019,0
38,38,pakistani claim polic lathi charg muslim indian mosqu,pakistani claim polic lathi charg muslim indian mosqu,1
39,39,thi incid happen aligarh UP last year june 2018 polic laticharg hindu jagran manch volunt protest ssp offic,thi incid happen aligarh UP last year june 2018 polic laticharg hindu jagran manch volunt protest ssp offic,0
40,40,An offici facebook page aisa post imag constitut two imag first PM modi ji put garland mahatma gandhi claim PM join hand respect killer gandhi,An offici facebook page aisa post imag constitut two imag first PM modi ji put garland mahatma gandhi claim PM join hand respect killer gandhi,1
41,41,It gun microphon tmc mla pull,It gun microphon tmc mla pull,0
42,42,tmc mla pull gun live TV debat thi happen india talk intoler,tmc mla pull gun live TV debat thi happen india talk intoler,1
43,43,the imag text viral aug 2016 also kejriw claim save money juli 2016 In august 2016 fakenew becam viral claim failur delhi CM kejriw but photo actual lohia path lucknow uttar pradesh thi incid happen 5th juli 2016,the imag text viral aug 2016 also kejriw claim save money juli 2016 In august 2016 fakenew becam viral claim failur delhi CM kejriw but photo actual lohia path lucknow uttar pradesh thi incid happen 5th juli 2016,0
44,44,indigo airlin give 2 free ticket everyon celebr 12th anniversari click get url,indigo airlin give 2 free ticket everyon celebr 12th anniversari click get url,1
45,45,ayushmaan bharat yojna 2018 10 crore citizen age 13 70 given free insur worth 5 crore last date appli 29th octob SO regist fast forward messag friend also benefit scheme,ayushmaan bharat yojna 2018 10 crore citizen age 13 70 given free insur worth 5 crore last date appli 29th octob SO regist fast forward messag friend also benefit scheme,1
46,46,A simul game video viral iaf yesterday attack pakistan,A simul game video viral iaf yesterday attack pakistan,0
47,47,A black white video viral air born vehicl bomb area It claim yesterday india attack pakistan air forc,A black white video viral air born vehicl bomb area It claim yesterday india attack pakistan air forc,1
48,48,A video crowd purportedli rohingya bangladeshi refuge heckl bharatiya janata parti bjp worker west bengal wide circul social media,A video crowd purportedli rohingya bangladeshi refuge heckl bharatiya janata parti bjp worker west bengal wide circul social media,1
49,49,A video crowd purportedli rohingya bangladeshi refuge heckl bharatiya janata parti bjp worker west bengal wide circul social media,A video crowd purportedli rohingya bangladeshi refuge heckl bharatiya janata parti bjp worker west bengal wide circul social media thi confirm simpl revers imag the result return version video date back 2017 the revers search led video titl bjp bike ralli surat welcom angri crowd No media show u share youtub page the big pictur,0
50,50,with lok sabha elect set fourth phase poll 29 april mani media hous claim sever bollywood star abl cast vote becaus they dont have indian passport the list includ deepika padukon mani report claim sinc actor born denmark copenhagen hold danish passport abl vote upcom elect,with lok sabha elect set fourth phase poll 29 april mani media hous claim sever bollywood star abl cast vote becaus they dont have indian passport the list includ deepika padukon mani report claim sinc actor born denmark copenhagen hold danish passport abl vote upcom elect,1
51,51,A video woman sing hanuman chalisa go viral social media mislead claim singer madonna,A video woman sing hanuman chalisa go viral social media mislead claim singer madonna,1
52,52,the woman sing hanuman chalisa viral video uma devi kyiv ukrain boom reach shanti peopl said video went viral perform live 2015 shanti peopl mix ancient vedic mantra contemporari electron danc music edm On websit state band inspir travel best music practic india sourc vedic cultur,the woman sing hanuman chalisa viral video uma devi kyiv ukrain boom reach shanti peopl said video went viral perform live 2015 shanti peopl mix ancient vedic mantra contemporari electron danc music edm On websit state band inspir travel best music practic india sourc vedic cultur,0
53,53,A photo newspap clip purport show mamata banerje said give us 42 seat show make hindu cri,A photo newspap clip purport show mamata banerje said give us 42 seat show make hindu cri,1
54,54,sever netizen point edit photo post origin newspap clip A photo newspap clip purport show mamata banerje said give us 42 seat show make hindu cri photoshop the fake imag morph headlin front page bengali daili bartaman,sever netizen point edit photo post origin newspap clip A photo newspap clip purport show mamata banerje said give us 42 seat show make hindu cri photoshop the fake imag morph headlin front page bengali daili bartaman,0
55,55,In articl websit indiascoop claim pragya thakur said manohar parrikar die allow consumpt beef goa,In articl websit indiascoop claim pragya thakur said manohar parrikar die allow consumpt beef goa,1
56,56,A quot attribut bharatiya janta parti candid bhopal sadhvi pragya singh thakur wherein allegedli said late goa chief minist manohar parrikar die cancer allow beef consum state fake thakur made statement parrikar die march 17 2019 age 63 battl pancreat cancer the origin claim appear indiascoop com dubiou websit the articl publish april 26 2019 also claim thakur told group follow sehor madhya pradesh bjp plan ban sale beef north east goa southern state still allow,A quot attribut bharatiya janta parti candid bhopal sadhvi pragya singh thakur wherein allegedli said late goa chief minist manohar parrikar die cancer allow beef consum state fake thakur made statement parrikar die march 17 2019 age 63 battl pancreat cancer the origin claim appear indiascoop com dubiou websit the articl publish april 26 2019 also claim thakur told group follow sehor madhya pradesh bjp plan ban sale beef north east goa southern state still allow,0
